Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Göteborg A;71420;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1969-05-31 23:59:59;30.0;57.7000;11.9700
1969-07-01 00:00:00;1972-04-30 23:59:59;40.0;57.7200;12.0200
1972-05-01 00:00:00;1976-10-01 23:59:59;4.0;57.7000;11.9800
1983-04-01 00:00:00;1995-09-30 23:59:59;23.0;57.7084;11.9939
1995-10-01 00:00:00;1998-05-31 23:59:59;5.0;57.7080;11.9938
1999-03-01 00:00:00;2020-05-03 15:00:00;3.038;57.7156;11.9924

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2019-12-25 00:00:01;2019-12-26 00:00:00;2019-12-25;3.7;Y;;Data från senaste fyra månaderna
2019-12-26 00:00:01;2019-12-27 00:00:00;2019-12-26;0.3;Y;;Tidsperiod (fr.o.m.) = 2019-12-25 00:00:01 (UTC)
2019-12-27 00:00:01;2019-12-28 00:00:00;2019-12-27;-0.6;Y;;Tidsperiod (t.o.m.) = 2020-05-03 15:00:00 (UTC)
2019-12-28 00:00:01;2019-12-29 00:00:00;2019-12-28;-0.9;Y;;Medelvärdet är beräknat för = 24 timmar
2019-12-29 00:00:01;2019-12-30 00:00:00;2019-12-29;4.9;Y;;
2019-12-30 00:00:01;2019-12-31 00:00:00;2019-12-30;7.5;Y;;Kvalitetskoderna:
2019-12-31 00:00:01;2020-01-01 00:00:00;2019-12-31;4.7;Y;;Grön (G) = Kontrollerade och godkända värden.
2020-01-01 00:00:01;2020-01-02 00:00:00;2020-01-01;6.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2020-01-02 00:00:01;2020-01-03 00:00:00;2020-01-02;6.1;Y;;
2020-01-03 00:00:01;2020-01-04 00:00:00;2020-01-03;6.6;Y;;Orsaker till saknade data:
2020-01-04 00:00:01;2020-01-05 00:00:00;2020-01-04;4.2;Y;;  stationen eller givaren har varit ur funktion.
2020-01-05 00:00:01;2020-01-06 00:00:00;2020-01-05;1.8;Y
2020-01-06 00:00:01;2020-01-07 00:00:00;2020-01-06;7.0;Y
2020-01-07 00:00:01;2020-01-08 00:00:00;2020-01-07;6.1;Y
2020-01-08 00:00:01;2020-01-09 00:00:00;2020-01-08;7.7;Y
2020-01-09 00:00:01;2020-01-10 00:00:00;2020-01-09;4.8;Y
2020-01-10 00:00:01;2020-01-11 00:00:00;2020-01-10;3.1;Y
2020-01-11 00:00:01;2020-01-12 00:00:00;2020-01-11;4.9;Y
2020-01-12 00:00:01;2020-01-13 00:00:00;2020-01-12;6.8;Y
2020-01-13 00:00:01;2020-01-14 00:00:00;2020-01-13;5.1;Y
2020-01-14 00:00:01;2020-01-15 00:00:00;2020-01-14;6.4;Y
2020-01-15 00:00:01;2020-01-16 00:00:00;2020-01-15;8.2;Y
2020-01-16 00:00:01;2020-01-17 00:00:00;2020-01-16;7.3;Y
2020-01-17 00:00:01;2020-01-18 00:00:00;2020-01-17;6.9;Y
2020-01-18 00:00:01;2020-01-19 00:00:00;2020-01-18;6.4;Y
2020-01-19 00:00:01;2020-01-20 00:00:00;2020-01-19;3.5;Y
2020-01-20 00:00:01;2020-01-21 00:00:00;2020-01-20;5.9;Y
2020-01-21 00:00:01;2020-01-22 00:00:00;2020-01-21;7.1;Y
2020-01-22 00:00:01;2020-01-23 00:00:00;2020-01-22;5.0;Y
2020-01-23 00:00:01;2020-01-24 00:00:00;2020-01-23;5.4;Y
2020-01-24 00:00:01;2020-01-25 00:00:00;2020-01-24;6.8;Y
2020-01-25 00:00:01;2020-01-26 00:00:00;2020-01-25;6.2;Y
2020-01-26 00:00:01;2020-01-27 00:00:00;2020-01-26;5.9;Y
2020-01-27 00:00:01;2020-01-28 00:00:00;2020-01-27;5.3;Y
2020-01-28 00:00:01;2020-01-29 00:00:00;2020-01-28;5.7;Y
2020-01-29 00:00:01;2020-01-30 00:00:00;2020-01-29;5.1;Y
2020-01-30 00:00:01;2020-01-31 00:00:00;2020-01-30;4.2;Y
2020-01-31 00:00:01;2020-02-01 00:00:00;2020-01-31;4.6;Y
2020-02-01 00:00:01;2020-02-02 00:00:00;2020-02-01;7.6;Y
2020-02-02 00:00:01;2020-02-03 00:00:00;2020-02-02;4.9;Y
2020-02-03 00:00:01;2020-02-04 00:00:00;2020-02-03;2.0;Y
2020-02-04 00:00:01;2020-02-05 00:00:00;2020-02-04;2.7;Y
2020-02-05 00:00:01;2020-02-06 00:00:00;2020-02-05;2.6;Y
2020-02-06 00:00:01;2020-02-07 00:00:00;2020-02-06;6.2;Y
2020-02-07 00:00:01;2020-02-08 00:00:00;2020-02-07;2.6;Y
2020-02-08 00:00:01;2020-02-09 00:00:00;2020-02-08;4.9;Y
2020-02-09 00:00:01;2020-02-10 00:00:00;2020-02-09;6.4;Y
2020-02-10 00:00:01;2020-02-11 00:00:00;2020-02-10;6.6;Y
2020-02-11 00:00:01;2020-02-12 00:00:00;2020-02-11;4.8;Y
2020-02-12 00:00:01;2020-02-13 00:00:00;2020-02-12;5.4;Y
2020-02-13 00:00:01;2020-02-14 00:00:00;2020-02-13;4.0;Y
2020-02-14 00:00:01;2020-02-15 00:00:00;2020-02-14;2.8;Y
2020-02-15 00:00:01;2020-02-16 00:00:00;2020-02-15;5.9;Y
2020-02-16 00:00:01;2020-02-17 00:00:00;2020-02-16;8.6;Y
2020-02-17 00:00:01;2020-02-18 00:00:00;2020-02-17;6.2;Y
2020-02-18 00:00:01;2020-02-19 00:00:00;2020-02-18;6.0;Y
2020-02-19 00:00:01;2020-02-20 00:00:00;2020-02-19;5.2;Y
2020-02-20 00:00:01;2020-02-21 00:00:00;2020-02-20;5.4;Y
2020-02-21 00:00:01;2020-02-22 00:00:00;2020-02-21;6.1;Y
2020-02-22 00:00:01;2020-02-23 00:00:00;2020-02-22;6.0;Y
2020-02-23 00:00:01;2020-02-24 00:00:00;2020-02-23;6.0;Y
2020-02-24 00:00:01;2020-02-25 00:00:00;2020-02-24;3.3;Y
2020-02-25 00:00:01;2020-02-26 00:00:00;2020-02-25;1.5;Y
2020-02-26 00:00:01;2020-02-27 00:00:00;2020-02-26;0.4;Y
2020-02-27 00:00:01;2020-02-28 00:00:00;2020-02-27;-1.3;Y
2020-02-28 00:00:01;2020-02-29 00:00:00;2020-02-28;1.5;Y
2020-02-29 00:00:01;2020-03-01 00:00:00;2020-02-29;2.9;Y
2020-03-01 00:00:01;2020-03-02 00:00:00;2020-03-01;5.0;Y
2020-03-02 00:00:01;2020-03-03 00:00:00;2020-03-02;5.7;Y
2020-03-03 00:00:01;2020-03-04 00:00:00;2020-03-03;3.4;Y
2020-03-04 00:00:01;2020-03-05 00:00:00;2020-03-04;4.1;Y
2020-03-05 00:00:01;2020-03-06 00:00:00;2020-03-05;3.9;Y
2020-03-06 00:00:01;2020-03-07 00:00:00;2020-03-06;3.4;Y
2020-03-07 00:00:01;2020-03-08 00:00:00;2020-03-07;3.2;Y
2020-03-08 00:00:01;2020-03-09 00:00:00;2020-03-08;6.3;Y
2020-03-09 00:00:01;2020-03-10 00:00:00;2020-03-09;6.8;Y
2020-03-10 00:00:01;2020-03-11 00:00:00;2020-03-10;5.5;Y
2020-03-11 00:00:01;2020-03-12 00:00:00;2020-03-11;7.0;Y
2020-03-12 00:00:01;2020-03-13 00:00:00;2020-03-12;5.0;Y
2020-03-13 00:00:01;2020-03-14 00:00:00;2020-03-13;3.1;Y
2020-03-14 00:00:01;2020-03-15 00:00:00;2020-03-14;0.5;Y
2020-03-15 00:00:01;2020-03-16 00:00:00;2020-03-15;5.6;Y
2020-03-16 00:00:01;2020-03-17 00:00:00;2020-03-16;7.6;Y
2020-03-17 00:00:01;2020-03-18 00:00:00;2020-03-17;6.6;Y
2020-03-18 00:00:01;2020-03-19 00:00:00;2020-03-18;7.2;Y
2020-03-19 00:00:01;2020-03-20 00:00:00;2020-03-19;6.6;Y
2020-03-20 00:00:01;2020-03-21 00:00:00;2020-03-20;4.4;Y
2020-03-21 00:00:01;2020-03-22 00:00:00;2020-03-21;1.5;Y
2020-03-22 00:00:01;2020-03-23 00:00:00;2020-03-22;1.0;Y
2020-03-23 00:00:01;2020-03-24 00:00:00;2020-03-23;3.5;Y
2020-03-24 00:00:01;2020-03-25 00:00:00;2020-03-24;5.0;Y
2020-03-25 00:00:01;2020-03-26 00:00:00;2020-03-25;6.6;Y
2020-03-26 00:00:01;2020-03-27 00:00:00;2020-03-26;5.8;Y
2020-03-27 00:00:01;2020-03-28 00:00:00;2020-03-27;4.5;Y
2020-03-28 00:00:01;2020-03-29 00:00:00;2020-03-28;4.9;Y
2020-03-29 00:00:01;2020-03-30 00:00:00;2020-03-29;2.2;Y
2020-03-30 00:00:01;2020-03-31 00:00:00;2020-03-30;3.6;Y
2020-03-31 00:00:01;2020-04-01 00:00:00;2020-03-31;3.7;Y
2020-04-01 00:00:01;2020-04-02 00:00:00;2020-04-01;6.8;Y
2020-04-02 00:00:01;2020-04-03 00:00:00;2020-04-02;6.3;Y
2020-04-03 00:00:01;2020-04-04 00:00:00;2020-04-03;5.5;Y
2020-04-04 00:00:01;2020-04-05 00:00:00;2020-04-04;5.5;Y
2020-04-05 00:00:01;2020-04-06 00:00:00;2020-04-05;9.7;Y
2020-04-06 00:00:01;2020-04-07 00:00:00;2020-04-06;11.5;Y
2020-04-07 00:00:01;2020-04-08 00:00:00;2020-04-07;9.3;Y
2020-04-08 00:00:01;2020-04-09 00:00:00;2020-04-08;9.5;Y
2020-04-09 00:00:01;2020-04-10 00:00:00;2020-04-09;7.6;Y
2020-04-10 00:00:01;2020-04-11 00:00:00;2020-04-10;5.7;Y
2020-04-11 00:00:01;2020-04-12 00:00:00;2020-04-11;4.5;Y
2020-04-12 00:00:01;2020-04-13 00:00:00;2020-04-12;7.8;Y
2020-04-13 00:00:01;2020-04-14 00:00:00;2020-04-13;5.2;Y
2020-04-14 00:00:01;2020-04-15 00:00:00;2020-04-14;5.3;Y
2020-04-15 00:00:01;2020-04-16 00:00:00;2020-04-15;8.6;Y
2020-04-16 00:00:01;2020-04-17 00:00:00;2020-04-16;9.3;Y
2020-04-17 00:00:01;2020-04-18 00:00:00;2020-04-17;7.0;Y
2020-04-18 00:00:01;2020-04-19 00:00:00;2020-04-18;6.9;Y
2020-04-19 00:00:01;2020-04-20 00:00:00;2020-04-19;8.4;Y
2020-04-20 00:00:01;2020-04-21 00:00:00;2020-04-20;11.3;Y
2020-04-21 00:00:01;2020-04-22 00:00:00;2020-04-21;14.2;Y
2020-04-22 00:00:01;2020-04-23 00:00:00;2020-04-22;13.3;Y
2020-04-23 00:00:01;2020-04-24 00:00:00;2020-04-23;12.5;Y
2020-04-24 00:00:01;2020-04-25 00:00:00;2020-04-24;10.7;Y
2020-04-25 00:00:01;2020-04-26 00:00:00;2020-04-25;10.1;Y
2020-04-26 00:00:01;2020-04-27 00:00:00;2020-04-26;8.6;Y
2020-04-27 00:00:01;2020-04-28 00:00:00;2020-04-27;7.8;Y
2020-04-28 00:00:01;2020-04-29 00:00:00;2020-04-28;7.1;Y
2020-04-29 00:00:01;2020-04-30 00:00:00;2020-04-29;7.7;Y
2020-04-30 00:00:01;2020-05-01 00:00:00;2020-04-30;6.7;Y
2020-05-01 00:00:01;2020-05-02 00:00:00;2020-05-01;8.3;Y
2020-05-02 00:00:01;2020-05-03 00:00:00;2020-05-02;8.7;Y
